venue_id,venue_name,capacity,grass,dome,city,state,zip,country_code,timezone,latitude,longitude,elevation,construction_year
36,Leonidoff Field,5000,False,False,Poughkeepsie,NY,12601,US,America/New_York,41.7191409,-73.9329549,24.94474983,1968
150,Jack Coffey Field,7000,False,False,Bronx,NY,10458,US,America/New_York,40.8466508,-73.8785937,22,
218,FIU Stadium,20000,False,False,Miami,FL,33199,US,America/New_York,25.7525014,-80.3778912,1.718581796,1995
347,Camp Randall Stadium,80321,False,False,Madison,WI,53711,US,America/Chicago,43.06994,-89.4126943,263.604126,1917
453,Robertson Stadium,32000,False,False,Houston,TX,77004,US,America/Chicago,29.722053,-95.349175,9.6,1942
477,Los Angeles Memorial Coliseum,77500,True,False,Los Angeles,CA,90089,US,America/Los_Angeles,34.014167,-118.287778,42.50374222,1923
499,Cotton Bowl,92100,False,False,Dallas,TX,75210,US,America/Chicago,32.779722,-96.759722,133.2241211,1930
538,StubHub Center,27000,False,False,Carson,CA,92620,US,,33.8322043,-118.2517547,,
587,Rice-Eccles Stadium,51444,False,False,Salt Lake City,UT,84112,US,America/Denver,40.7599724,-111.8488255,1411.543579,1998
716,Torero Stadium,6000,True,False,San Diego,CA,92111,US,America/Los_Angeles,32.7730674,-117.183721,57.95064545,1961
717,Villanova Stadium,12500,False,False,Villanova,PA,19085,US,America/New_York,40.0343329,-75.3367666,127.3836746,1927
721,Bobby Dodd Stadium,55000,False,False,Atlanta,GA,30332,US,America/New_York,33.7724449,-84.3928054,279.300415,1913
844,Stambaugh Stadium,20630,False,False,Youngstown,OH,44502,US,America/New_York,41.1092964,-80.6501885,298.8893127,1982
980,Benedetti-Wehrli Stadium,4839,,False,Naperville,IL,60540,US,,41.7728699,-88.1479278,,
1027,Alex G. Spanos Stadium,11075,True,False,San Luis Obispo,CA,93405,US,America/Los_Angeles,35.2984123,-120.6650005,84.6832428,2006
1056,Rose Bowl,88565,True,False,Pasadena,CA,90095,US,America/Los_Angeles,34.1613284,-118.1676462,245.1772461,1922
1400,Toyota Stadium,20500,True,False,Frisco,TX,75033,US,America/Chicago,33.154444,-96.835278,181.3815918,2005
1905,DakotaDome,9100,False,True,Vermillion,SD,57069,US,America/Chicago,42.7911218,-96.9278427,373.3928833,1979
1930,Holt Arena,12000,False,True,Pocatello,ID,83201,US,America/Boise,42.8702052,-112.4281274,1390.252441,1970
1964,JMA Wireless Dome,49057,False,True,Syracuse,NY,13244,US,America/New_York,43.0362269,-76.1363161,162.6989746,1980
2023,Walkup Skydome,10000,False,True,Flagstaff,AZ,86001,US,America/Phoenix,35.1805483,-111.6528377,2097.884766,1977
2031,Pitbull Stadium,20000,False,False,Miami,FL,33199,US,America/New_York,25.7525,-80.37778,6,1995
2068,E. Claiborne Robins Stadium,8217,False,False,Richmond,VA,23173,US,America/New_York,37.5807765,-77.5372211,60.03879166,2010
2455,Wembley Stadium,90000,True,False,London,,,GB,Europe/London,51.5556,-0.2794,47,2007
3453,SeatGeek Stadium,20000,True,False,Bridgeview,IL,60455,US,America/Chicago,41.764722,-87.806111,191,2006
3459,Red Bull Arena,0,,False,Harrison,NJ,,US,,,,,
3485,Providence Park,19566,False,False,Portland,OR,97205,US,America/Los_Angeles,45.5215978,-122.6916811,23.84255791,1926
3486,Children's Mercy Park,18467,True,False,Kansas City,KS,66111,US,America/Chicago,39.121768,-94.823198,300.8,2011
3491,RFK Stadium,45596,True,False,Washington,DC,20003,US,America/New_York,38.88981,-76.971809,3.029993296,1961
3493,Caesars Superdome,73000,False,True,New Orleans,LA,70112,US,America/Chicago,29.950833,-90.081111,0.508185744,1975
3494,The Dome at America's Center,66000,,True,Saint Louis,MO,63103,US,,38.6264256,-90.1995853,,
3495,Georgia Dome,74228,False,False,Atlanta,GA,39901,US,America/New_York,33.7576897,-84.4008285,303.1637268,1992
3504,Aviva Stadium,51700,True,False,Dublin,,,IE,Europe/Dublin,53.33523,-6.228447,2.264276505,2010
3558,Michigan Stadium,107601,False,False,Ann Arbor,MI,48109,US,America/Detroit,42.2658365,-83.7486956,255.5500031,1927
3597,Alumni Memorial Field,10000,True,False,Lexington,VA,24450,US,America/New_York,37.788983,-79.43505,294.958252,1962
3599,Ace W. Mumford Stadium,28500,False,False,Baton Rouge,LA,70807,US,America/Chicago,30.5221461,-91.1896087,20.24213219,1928
3600,Tom Adams Field,6439,,False,Detroit,MI,48207,US,,42.3315509,-83.0466403,,
3601,Aggie Memorial Stadium,28853,False,False,Las Cruces,NM,88003,US,America/Denver,32.2796202,-106.7411148,1208.201294,1978
3602,Aggie Stadium,10743,False,False,Davis,CA,95616,US,America/Los_Angeles,38.5365266,-121.7627936,11.3825922,2007
3603,Aggie Stadium,21500,True,False,Greensboro,NC,27411,US,America/New_York,36.0814337,-79.7700391,235.1224518,1981
3604,Alamodome,36582,False,True,San Antonio,TX,78299,US,America/Chicago,29.4169834,-98.4788143,201.5526886,1993
3605,Alerus Center,12283,False,True,Grand Forks,ND,58201,US,America/Chicago,47.910622,-97.090996,255.2472076,2001
3606,Scheels Field at Nemzek Stadium,5000,,False,Moorhead,MN,,US,,46.8739081,-96.7538674,,
3607,Alfond Stadium,10000,False,False,Orono,ME,4469 ,US,America/New_York,44.905128,-68.6724718,35.4817543,1998
3608,Allen E. Paulson Stadium,25000,False,False,Statesboro,GA,30460,US,America/New_York,32.4122471,-81.7849296,61.25376892,1984
3609,Allgood-Bailey Stadium,8000,True,False,Rolla,MO,65401,US,America/Chicago,37.95037,-91.780444,336.1,1967
3610,Aloha Stadium,50000,False,False,Honolulu,HI,96818,US,Pacific/Honolulu,21.3728014,-157.9299645,10.26500511,1975
3611,Alumni Field (MA),1000,,False,Leicester,MA,28748,US,,42.2368772,-71.9112404,,
3612,Alumni Memorial Stadium (NC),6000,,False,Salisbury,NC,28144,US,,35.6709727,-80.4742261,,
3613,Alumni Stadium,7193,False,False,Dover,DE,19901,US,America/New_York,39.189375,-75.5433185,10.95275307,1980
3614,Alumni Stadium (IN),4000,,False,Hanover,IN,,US,,38.7142263,-85.4735707,,
3615,"Alumni Stadium (Chestnut Hill, MA)",44500,False,False,Chestnut Hill,MA,2467 ,US,America/New_York,42.335104,-71.1664413,39.82634354,1957
3616,Amon G. Carter Stadium,46000,True,False,Fort Worth,TX,76129,US,America/Chicago,32.7096604,-97.3680835,185.4387054,1929
3617,Andy Kerr Stadium,10221,False,False,Hamilton,NY,13346,US,America/New_York,42.8168991,-75.5452721,337.1443787,1966
3618,Apprentice Field,800,,False,Newport News,VA,23607,US,,36.9775016,-76.42977,,
3619,Arizona Stadium,50782,False,False,Tucson,AZ,85721,US,America/Phoenix,32.2288054,-110.9488677,742.1530151,1928
3620,Armstrong Stadium,12000,False,False,Hampton,VA,23669,US,America/New_York,37.0200894,-76.3331555,2.574624538,1928
3621,Arnold Field (PA),2000,,False,Annville,PA,17003,US,,40.3295901,-76.515226,,
3622,GEHA Field at Arrowhead Stadium,76416,True,False,Kansas City,MO,64129,US,America/Chicago,39.048889,-94.483889,256.798584,1972
3623,Arthur J. Rooney Athletic Field,2200,False,False,Pittsburgh,PA,15282,US,America/New_York,40.4355808,-79.9900263,269.4302979,1993
3624,Arute Field,5500,False,False,New Britain,CT,6053 ,US,America/New_York,41.6950591,-72.7616197,41.29866409,1969
3625,Centennial Bank Stadium,30382,False,False,Jonesboro,AR,72404,US,America/Chicago,35.8488977,-90.6677436,89.52690887,1974
3626,Autzen Stadium,54000,False,False,Eugene,OR,97401,US,America/Los_Angeles,44.0582712,-123.0684883,127.4198303,1967
3627,Bailey Memorial Stadium,6500,True,False,Clinton,SC,29325,US,America/New_York,34.46158,-81.861368,194.1601868,2002
3628,Bank of America Stadium,73778,True,False,Charlotte,NC,28202,US,America/New_York,35.225833,-80.852778,220.8777466,1996
3629,Barker-Lane Stadium,5500,False,False,Buies Creek,NC,27506,US,America/New_York,35.4047689,-78.7424842,56.51401138,2008
3630,Allegacy Federal Credit Union Stadium,31500,False,False,Winston-Salem,NC,27105,US,America/New_York,36.1305507,-80.2545851,283.548584,1968
3631,BBVA Compass Stadium,22000,True,False,Houston,TX,77003,US,America/Chicago,29.7521988,-95.3524146,13.68128395,2012
3632,Beaver Stadium,106572,True,False,University Park,PA,16802,US,America/New_York,40.8121958,-77.8561023,354.1551514,1960
3633,Ben Altamirano Field,3000,,False,Silver City,NM,88062,US,,32.7751371,-108.2754371,,
3634,Ben Hill Griffin Stadium,88548,True,False,Gainesville,FL,32653,US,America/New_York,29.6499357,-82.3485788,44.97250748,1930
3635,Bill Buxton Stadium,5000,,False,Indianola,IA,50125,US,,41.3604966,-93.5613292,,
3636,Bill Snyder Family Stadium,50000,False,False,Manhattan,KS,66502,US,America/Chicago,39.2020096,-96.5938395,328.0574646,1968
3637,Bishop John M. D'Arcy Stadium,,,False,Fort Wayne,IN,,US,,,,,
3638,MDU Resources Community Bowl,6000,,False,Bismarck,ND,,US,,46.808327,-100.783739,,
3639,Blackshear Stadium,15000,False,False,Prairie View,TX,77445,US,America/Chicago,30.091128,-95.994482,78.4,2016
3640,Blackstock Stadium,3000,,False,Greencastle,IN,46135,US,,39.6444898,-86.8647316,,
3641,Blakeslee Stadium,7000,,False,Mankato,MN,56001,US,,44.1634663,-93.9993505,,
3642,Bobcat Stadium (MD),4000,,False,Frostburg,MD,21532,US,,39.6581425,-78.928357,,
3643,Bobcat Stadium,17000,False,False,Bozeman,MT,59718,US,America/Denver,45.659048,-111.049547,1507.508667,1973
3644,Bobcat Stadium (TX),30000,False,False,San Marcos,TX,78666,US,America/Chicago,29.8910008,-97.9255735,177.8676453,1981
3645,Bolstorff Field,0,,False,Forest City,IA,50436,US,,43.2626747,-93.6376741,,
3646,Boone Pickens Stadium,55509,False,False,Stillwater,OK,74078,US,America/Chicago,36.125673,-97.066513,276.4808655,1919
3647,Elliott T. Bowers Stadium,14000,False,False,Huntsville,TX,77340,US,America/Chicago,30.713926,-95.5419802,127.6225204,1986
3649,Bowman Gray Stadium,17000,True,False,Winston-Salem,NC,27107,US,America/New_York,36.083372,-80.222037,242.5,1937
3650,Bragg Memorial Stadium,25500,False,False,Tallahassee,FL,32307,US,America/New_York,30.4261632,-84.2923095,31.18483925,1957
3651,Bridgeforth Stadium,24877,False,False,Harrisonburg,VA,22807,US,America/New_York,38.4352919,-78.8729349,399.303009,1975
3652,FBC Mortgage Stadium,44206,True,False,Orlando,FL,32816,US,America/New_York,28.6079765,-81.1927233,20.94113731,2007
3653,Albertsons Stadium,36387,False,False,Boise,ID,83725,US,America/Boise,43.6028839,-116.1958882,823.2221069,1970
3654,Brooks Stadium (SC),21000,False,False,Conway,SC,29528,US,America/New_York,33.7928506,-79.0166946,13.74894905,2003
3655,Brown Field,5000,False,False,Valparaiso,IN,46383,US,America/Chicago,41.465642,-87.0479446,244.6367645,1919
3656,Brown Stadium,20000,False,False,Providence,RI,2912 ,US,America/New_York,41.842114,-71.3939416,33.87348557,1925
3657,Bryant-Denny Stadium,101821,True,False,Tuscaloosa,AL,35487,US,America/Chicago,33.2082752,-87.5503836,70.05136108,1929
3658,Buccaneer Field,4000,False,False,North Charleston,SC,29406,US,America/New_York,32.9810239,-80.0659664,12.6744318,1970
3659,Bulldog Stadium (NE),0,,False,Seward,NE,,US,,40.8695533,-97.1706676,,
3660,Valley Children's Stadium,41031,False,False,Fresno,CA,93740,US,America/Los_Angeles,36.8143527,-119.7580092,102.564064,1980
3661,Bulldog Stadium,4400,False,False,Smithfield,RI,93710,US,America/New_York,41.924206,-71.5385124,124.471344,1999
3662,AmFirst Stadium,24000,False,False,Jacksonville,AL,36265,US,America/Chicago,33.8201052,-85.76647,198.0679016,1947
3663,Burke-Tarr Stadium,6500,,False,Jefferson City,TN,,US,,36.122311,-83.4923961,,
3664,Butler Bowl,5647,False,False,Indianapolis,IN,46721,US,America/Indiana/Indianapolis,39.8444694,-86.1659242,221.1980591,1928
3665,SECU Stadium,51802,False,False,College Park,MD,20742,US,America/New_York,38.9903332,-76.9473792,32.68748093,1950
3666,Cajun Field,41426,False,False,Lafayette,LA,70506,US,America/Chicago,30.2158434,-92.0417371,3.556508303,1971
3667,Callaghan Stadium,2000,,False,Princeton,WV,24740,US,,37.366328,-81.1026607,,
3668,Campus Field,3334,False,False,Fairfield,CT,6825 ,US,America/New_York,41.2212488,-73.2417431,82.02420044,1993
3670,Carter-Finley Stadium,58000,True,False,Raleigh,NC,27695,US,America/New_York,35.8008001,-78.7195655,117.0089951,1966
3671,Case Field,2400,False,False,Cleveland,OH,85099,US,America/New_York,41.513447,-81.603634,-81.603639,2005
3673,Lumen Field,69000,False,False,Seattle,WA,98134,US,America/Los_Angeles,47.595217,-122.33165,5.2,2002
3674,Chapman Stadium,30000,False,False,Tulsa,OK,74194,US,America/Chicago,36.1489175,-95.9437853,235.5928345,1930
3675,Charles A. Gaetano Stadium,1200,,False,Utica,NY,13501,US,,43.1009031,-75.2326641,,
3676,Christy Mathewson-Memorial Stadium,13100,False,False,Lewisburg,PA,17837,US,America/New_York,40.9519411,-76.884752,151.194931,1924
3677,Chuck Noll Field,1050,,False,Latrobe,PA,15650,US,,40.317287,-79.3840301,,
3678,City Stadium (VA),0,,False,Lynchburg,VA,24501,US,,37.4137536,-79.1422464,,
3681,Coffey Field,7000,False,False,The Bronx,NY,10458,US,America/New_York,40.8615808,-73.8827649,31.2384243,1930
3683,Kroger Field,61000,False,False,Lexington,KY,40506,US,America/New_York,38.0220905,-84.5053408,307.4248962,1973
3684,Citrus Stadium,10000,,False,Azusa,CA,91702,US,,34.1338751,-117.9056046,,
3685,Coughlin-Alumni Stadium,16700,False,False,Brookings,SD,57007,US,America/Chicago,44.32121,-96.780096,495.8,1961
3686,Cowboy Stadium,17610,False,False,Lake Charles,LA,70607,US,America/Chicago,30.1804575,-93.2178729,4.168509007,1965
3687,AT&T Stadium,100000,False,True,Arlington,TX,76011,US,America/Chicago,32.747778,-97.092778,172.5047302,2009
3688,Wildcat Stadium,11015,False,False,Durham,NH,3824 ,US,America/New_York,43.1386231,-70.9393077,19.05943298,1936
3689,Cramton Bowl,25000,False,False,Montgomery,AL,36101,US,America/Chicago,32.37949,-86.293002,75.10210419,1922
3690,Charles L. Currier Memorial Field,3000,,False,Plymouth,NH,,US,,43.757209,-71.688538,,
3691,D. B. Milne Field,5000,False,False,Jacksonville,FL,32211,US,America/New_York,30.3568843,-81.605476,12.51101398,1998
3693,Davis Wade Stadium,61337,True,False,Starkville,MS,39762,US,America/Chicago,33.4563403,-88.7933652,110.2742081,1914
3694,DeGol Field,3500,False,False,Loretto,PA,15940,US,America/New_York,40.5063173,-78.637214,586.9408569,2006
3695,Delaware Stadium,22000,False,False,Newark,DE,19713,US,America/New_York,39.6617428,-75.7488224,28.74350357,1952
3696,Dix Stadium,25319,False,False,Kent,OH,44242,US,America/New_York,41.1390935,-81.31346,321.3641663,1969
3697,Doak Campbell Stadium,67277,True,False,Tallahassee,FL,32306,US,America/New_York,30.4381692,-84.3044032,19.55942535,1950
3698,Donnell Stadium,7500,,False,Findlay,OH,45840,US,,41.0413873,-83.6503982,,
3699,Dowdy-Ficklen Stadium,50000,True,False,Greenville,NC,27858,US,America/New_York,35.5968486,-77.364564,19.0564537,1963
3700,Doyt L. Perry Stadium,24000,False,False,Bowling Green,OH,43403,US,America/New_York,41.3780114,-83.6225,205.9057465,1966
3701,Drake Stadium,14557,False,False,Des Moines,IA,50311,US,America/Chicago,41.605,-93.655,277.8869934,1925
3702,Durham County Memorial Stadium,8500,,False,Durham,NC,27701,US,,35.996653,-78.9018053,,
3703,Durham County Stadium,0,,False,Raleigh,NC,27601,US,,35.7803977,-78.6390989,,
