game_id,season,season_type,week,start_date,completed,neutral_site,conference_game,attendance,venue_id,venue,home_team_id,home_team,away_team_id,away_team,home_points,away_points
401525434,2023,regular,1,2023-08-26 18:30:00+00:00,True,True,False,49000.0,3504,Aviva Stadium,87,Notre Dame,2426,Navy,42,3
401520145,2023,regular,1,2023-08-26 21:30:00+00:00,True,False,True,17982.0,3662,AmFirst Stadium,55,Jacksonville State,2638,UTEP,17,14
401532392,2023,regular,1,2023-08-26 23:00:00+00:00,True,False,False,23867.0,7311,Snapdragon Stadium,21,San Diego State,195,Ohio,20,13
401525450,2023,regular,1,2023-08-26 23:00:00+00:00,True,False,False,15356.0,3601,Aggie Memorial Stadium,166,New Mexico State,113,Massachusetts,30,41
401520147,2023,regular,1,2023-08-26 23:30:00+00:00,True,False,False,21407.0,3973,FirstBank Stadium,238,Vanderbilt,62,Hawai'i,35,28
401523986,2023,regular,1,2023-08-27 00:00:00+00:00,True,False,False,63411.0,477,Los Angeles Memorial Coliseum,30,USC,23,San José State,56,28
401520146,2023,regular,1,2023-08-27 01:00:00+00:00,True,False,True,16299.0,3776,Joe Aillet Stadium,2348,Louisiana Tech,2229,Florida International,22,17
401531834,2023,regular,1,2023-08-31 23:00:00+00:00,True,False,False,15546.0,4246,Center Parc Stadium,2247,Georgia State,227,Rhode Island,42,35
401525461,2023,regular,1,2023-08-31 23:00:00+00:00,True,False,False,30028.0,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,2210,Elon,37,17
401532393,2023,regular,1,2023-08-31 23:00:00+00:00,True,False,False,19432.0,3980,Waldo Stadium,2711,Western Michigan,2598,St. Francis (PA),35,17
401525816,2023,regular,1,2023-08-31 23:00:00+00:00,True,False,False,44088.0,3652,FBC Mortgage Stadium,2116,UCF,2309,Kent State,56,6
401520174,2023,regular,1,2023-08-31 23:30:00+00:00,True,False,False,36526.0,3892,Pratt & Whitney Stadium,41,UConn,152,NC State,14,24
401520176,2023,regular,1,2023-09-01 00:00:00+00:00,True,False,False,53644.0,587,Rice-Eccles Stadium,254,Utah,57,Florida,24,11
